Authors,Title,Source title,Link,Abstract,Author Keywords,Subject,Publisher,Document Type,Source
Brescia-Zapata M.; Krejtz K.; Duchowski A.T.; Hughes C.J.; Orero P.,Subtitles in VR 360° video. Results from an eye-tracking experiment,Perspectives: Studies in Translation Theory and Practice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176783021&doi=10.1080%2f0907676X.2023.2268122&partnerID=40&md5=ca983dff1068fb083350ac9071ffa9cf,"Virtual and Augmented Reality, collectively known as eXtended Reality, are key technologies for the next generation of human–computer–human interaction. In this context, 360° videos are becoming ubiquitous and especially suitable for providing immersive experiences thanks to the proliferation of affordable devices. This new medium has an untapped potential for the inclusion of modern subtitles to foster media content accessibility (Gejrot et al., 2021), e.g., for the deaf or hard-of-hearing people, and to also promote cultural inclusivity via language translation (Orero, 2022). Prior research on the presentation of subtitles in 360° videos relied on subjective methods and involved a small number of participants (Brown et al., 2018; Agulló, 2019; Oncins et al., 2020), leading to inconclusive results. The aim of this paper is to compare two conditions of subtitles in 360° videos: position (head-locked vs fixed) and colour (monochrome vs colour). Empirical analysis relies on novel triangulation of data from three complementary methods: psycho-physiological attentional process measures (eye movements), performance measures (media content comprehension), and subjective task-load and preferences (self-report measures). Results show that head-locked coloured subtitles are the preferred option. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",360° video; captions; eye-tracking; Immersive environments; media accessibility; subtitles,Art and Humanities,Taylor and Francis Ltd.,Article,Scopus
Quraishi M.; Irfan L.; Schneuwly Purdie M.; Wilkinson M.L.N.,Doing ‘judgemental rationality’ in empirical research: the importance of depth-reflexivity when researching in prison,Journal of Critical Realism,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118607554&doi=10.1080%2f14767430.2021.1992735&partnerID=40&md5=95b65b31c020df64b9642ba59ac12f8f,"Critical realist thought has theorised convincingly that epistemic relativism is constellationally embedded in ontological realism which in turn necessitates judgemental rationality. In social science, judgemental rationality involves acting upon plausible decisions about competing points of view. However, the tools for doing this are, as yet, under-articulated. This paper addresses this absence by articulating triangulation and depth-reflexivity as two tools for doing judgemental rationality in empirical research. It draws on the experiences of a diverse team working on an international comparative research project on conversion to Islam in prisons. It demonstrates how epistemic and relational gaps between researchers and research subjects can be bridged by mobilising the ‘laminated’ properties and personal attributes of a diverse research team that factors in attributes that are absent as well as those present. The biographical experiences of the team are analyzed in a variety of intersecting dimensions: faith, ethnicity/ethno-culture, gender, class and professionality. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",critical realism; depth-reflexivity; Judgemental rationality; Muslims; positionality; prison,Art and Humanities,Taylor and Francis Ltd.,Article,Scopus
Farina A.; James P.,The Landscape of Fear as a Safety Eco-Field: Experimental Evidence,Biosemiotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149248768&doi=10.1007%2fs12304-023-09522-1&partnerID=40&md5=89036d19a31d3baa33ff8a26a00aaf5e,"In a development of the ecosemiotic vivo-scape concept, a ‘safety eco-field’ is proposed as a model of a species response to the safety of its environment. The safety eco-field is based on the ecosemiotic approach which considers environmental safety as a resource sought and chosen by individuals to counter predatory pressure. To test the relative safety of different locations within a landscape, 66 bird feeders (BF) were deployed in a regular 15 × 15 m grid in a rural area, surrounded by shrubs, small trees, hedgerows, and buildings. On each of 48 days in November 2021 and February and March 2022, dried mealworms were placed on each BF and counts of larvae at each BF were made at noon and dusk. The European robin (Erithacus rubecula) and the great tit (Parus major) were the most regular visitors to the BFs. Land cover at each BF was recorded. Bird behaviour at the BFs was noted from direct video recordings of the birds at nine selected BFs, totalling 32 daily sessions in March. The different behaviours of the European robin and the great tit were observable. The safety eco-field changed according to the month and the time of day. The distance of the BF from the woodland edges seemed to be important only in the morning. In the afternoon, BFs that were more distant from the woodland edges received the highest number of visits. Weather conditions were found to influence the number of mealworms removed, but this requires further investigation. A significant relationship between land cover and the number of mealworm larvae removed from the BFs was observed. Within the grid of BF, three regions were distinguishable which were related to land cover in the safety eco-field process. The experimental framework confirms the adequacy, at least for birds that have cryptic predators, to map the landscape as a proxy of safety resource. From the video recordings it was noted that the European robin visits were distributed throughout the day without apparent temporal preferences, while the great tit visits were concentrated in the central part of the day. This result has the limitation of the short period of observation (March) and should be extended to the entire period of the experiment to eventually capture seasonal variation. The experimental evidence obtained confirms that the ecosemiotic-based models of safety eco-field are an efficient approach to explain bird feeding preferences and behaviours. © 2023, The Author(s), under exclusive licence to Springer Nature B.V.",Bird feeding; Cryptic predators; Ecosemiotics; European robin; Great tit; Safety eco-field,Art and Humanities,Springer Science and Business Media B.V.,Article,Scopus
Scott J.,A datalogical reading of online performance,International Journal of Performance Arts and Digital Media,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121823589&doi=10.1080%2f14794713.2021.2018222&partnerID=40&md5=5d442b8ef6557c6558a005d9cd652372,"This article offers a datalogical reading of online performance. In constructing the framework for this new mode of analysing online, computationally centred performance practice, it draws on discussions of data and the datalogical in Blackman [Blackman, L. 2019. Haunted Data: Affect, Transmedia, Weird Science. London: Bloomsbury Academic]; Clough et al [Clough, P. T., K. Gregory, B. Haber, and R. Scannell. 2015. “The Datalogical Turn.” In Non-representational Methodologies: Re-envisioning Research, edited by P. Vannini. London: Taylor & Francis Group] and Chun [Chun, W. 2016. Updating to Remain the Same: Habitual New Media. Cambridge, MA: The MIT Press], as well as the practices of surveillance capitalism outlined by Zuboff [The Age of Surveillance Capitalism: The Fight for the Future at the New Frontier of Power. London: Profile Books]. In conducting the analysis, attention is specifically paid to data as a ‘process of translation’ [Blackman, L. 2019. Haunted Data: Affect, Transmedia, Weird Science. London: Bloomsbury Academic], how the audience-participant as data-subject is identified and known and the ways in which data passes in and out of bodies in these works. In looping together these underlying computational happenings with the dramaturgical practices of the performances, I argue that a richer and expanded perspective of online performance practice is afforded–one which opens up the relationships between what we see, feel and experience and the other unseen, but present happenings centred in data exchange and processing within the events in question. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",data; datalogical; digital computation; Online performance,Art and Humanities,Routledge,Article,Scopus
McMurtry L.,Sounds Like Murder: Early 1980s Gothic on North American Radio,Gothic Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135472619&doi=10.3366%2fgothic.2022.0131&partnerID=40&md5=bb26b3af9478ed6b70ac3c3188cf5126,"Horror and the Gothic have long been staple genres of radio drama, including the radio drama revival series of the late 1970s–early 1980s, CBS Radio Mystery Theater (1974–82). During the same time period, the Canadian government, recognising an emergent national-identity crisis in relation to its southern neighbour, invested heavily in original programming on the Canadian Broadcasting Corporation (CBC). This resulted in the popular horror series Nightfall (1980–3), which Danielle Hancock argues presented ‘murder as a Canadian national narrative’ (2018). While CBSRMT occasionally adapted existing stories from other media, the majority of the output for both series were original, written-for-the-air dramas. Embodying Gothic returns of the past upon the present and the effects of transgressive conduct in society, murder is examined as a Gothic trait in episodes of Nightfall and CBSRMT. Radio’s ambiguities and intimacies provoke listeners of these programmes to confront disjunction. The differing worldviews – American masculine nationalism and neoconservatism subverted; Canadian polite and tolerant masculinity turned upside down by a nihilistic rejection of these values – focus Gothic spotlights on each country’s anxieties. © Leslie McMurtry.",Canadian identity; CBS Radio Mystery Theatre; Gothic Radio; murder; Nightfall,Art and Humanities,Edinburgh University Press,Article,Scopus
Byrne A.; Milestone K.,‘He wouldn’t be seen using it…’ Men’s use of male grooming products as a form of invisible consumption,Journal of Consumer Culture,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125655771&doi=10.1177%2f14695405211066314&partnerID=40&md5=d9eede0c1452c822be299e2afc670170,"Skincare products are well-established amongst female consumers. The market for male skincare products is far more recent and little research has been undertaken on this emerging sector. The practice of men using what was traditionally a product almost solely aimed at women poses some interesting questions about changing gendered identities and practices. Themes emerged from a series of interviews with respondents and key informants from industry about men’s use of skincare products. Based on our findings, we explore the importance of age as a factor in terms of men’s willingness to engage with this form of consumption. Our research showed that men are not comfortable talking with others about their grooming practices. We argue that men’s skincare consumption is an invisible form of consumption. As our findings show, men do not tend to speak openly about whether or not they use moisturiser and other facial skin care products. We concur with Hakim’s (2016) analysis about the pressure for men to continually improve their bodies in order to try to obtain market advantage in a cut-throat neoliberal context. However, with the case of skin care products, men may introspectively gaze in the mirror in contemplation of their improved appearance gained from using facial skincare products but they want this consumption to remain invisible to others. This invisible consumption could be viewed as an indication of wider uncertainty about masculinity in late modernity and the continuing trend for men to feel that there are certain aspects of their life that they feel they should keep to themselves. © The Author(s) 2022.",consumption; identity; invisible consumption; Masculinity; skincare,Art and Humanities,SAGE Publications Ltd,Article,Scopus
Logue M.,Patrick MacGill: A Path to Socialism shared with Jack London; [Patrick MacGill: el Camino hacia el Socialismo junto a Jack London],Estudios Irlandeses,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128663831&doi=10.24162%2fEI2022-10645&partnerID=40&md5=7b0b40cf7278c9d81711a8e2ed677e5c,"Until relatively recently the works of the early twentieth-century Irish novelist Patrick MacGill have been neglected by literary commentators. MacGill made his reputation, initially, through his poetry that was centred on the hard lives and conditions of the ‘Navvy’ – the itinerant labourers of the British industrial world. He subsequently published two novels that record the conditions of the Irish migrant agricultural and industrial labourers in Scotland, namely The Children of the Dead End and The Rat-Pit, establishing his reputation as a social commentator of the lower reaches of the working class. Several literary commentators such as Jack Mitchell (1982), Seamus Deane (1985), Owen Dudley Edwards (1986), and Terry Phillips (2010), have considered these early works to have a socialist view while others, Lochlinn McGlynn (1944), and Joe Mulholland (1972) have admired the descriptive skills and the realism in his writings. This article considers their points and places in context MacGill’s education in socialism in Greenock and Glasgow around 1909 and highlights examples where his socialist views are manifestly visible outside his novels. Patrick MacGill and Jack London were writers whose early literary works are formed of their experiences in the lower layers of the working class. In this article, the similarities in the formative years of MacGill and those of Jack London are exposed showing a striking commonality in their experiences that leads them both to socialism and to record those experiences in literature. © 2022 by Mike Logue.",Jack London; Patrick MacGill; Social Commentary; Socialism,Art and Humanities,Spanish Association for Irish Studies,Article,Scopus
B. Lomas D.W.; Murphy C.J.,"The Foreign Office ‘Thought Police’: Foreign Office Security, the Security Department and the ‘Missing Diplomats’, 1940–1952",Diplomacy and Statecraft,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168662186&doi=10.1080%2f09592296.2023.2239638&partnerID=40&md5=842e8967f8262707bcd238b97417d848,"The protection of diplomats, embassies and sensitive information has always been an important aspect of diplomacy. Today, security is an accepted norm of day-to-day diplomatic work, yet the importance of security in the UK Foreign Office was not always appreciated, with the department witnessing embarrassing security lapses and scandals during the first half of the Twentieth Century. This article highlights the importance of security to diplomacy, offering the first significant study of the origins and early development of the Foreign Office’s Security Department, established in 1946. It also explores the tensions between security officials and the wider Foreign Office, which indicate the extent to which organisational and internal cultural issues stymied good diplomatic security, issues that were laid bare in the aftermath of the defection of Foreign Office officials Guy Burgess and Donald Maclean in 1951. © 2023 The Author(s). Published with license by Taylor & Francis Group, LLC.",,Art and Humanities,Routledge,Article,Scopus
Hasshim N.; Kukona A.,Linking cognitive control to language comprehension: proportion congruency effects in syntactic ambiguity resolution,"Language, Cognition and Neuroscience",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185524843&doi=10.1080%2f23273798.2024.2314027&partnerID=40&md5=16d550d9083ba566603cface449c0619,"Two experiments investigated the effect of sustained cognitive control engagement on syntactic ambiguity resolution. Participants heard (Experiment 1) or read (Experiment 2) garden path sentences like “Put the kiwi on the rectangle on the circle”, in which “on the rectangle” could temporarily reflect either a destination of “Put” or modifier of “kiwi”, and they viewed visual arrays with a kiwi on a rectangle and an empty rectangle and circle. Cognitive control was manipulated experimentally by interleaving sentence trials among either mostly incongruent or mostly congruent Stroop trials. Across both experiments, garden path mouse cursor movements to incorrect destinations were reduced when sentence trials were interleaved among mostly incongruent Stroop trials, and in Experiment 2, garden path reading time effects were also reduced in this condition. These results suggest that a high proportion of incongruent trials supports the sustained engagement of cognitive control and causally improves sentence comprehension across (i.e. spoken and written) modalities. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Cognitive control; executive functions; language comprehension; mouse cursor tracking; syntactic ambiguity resolution,Art and Humanities,Routledge,Article,Scopus
Younis A.; Fedtke J.,“You’ve Been Living Here For as Long as You Can Remember”: Trauma in OMORI's Environmental Design,Games and Culture,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150965101&doi=10.1177%2f15554120231162982&partnerID=40&md5=91d4bc7a03a3c705e919e5cc86942d83,"Developed by Omocat and released in December 2020, OMORI is a surreal psychological horror role-playing game. The game follows the titular protagonist Omori as it examines such sensitive topics as suicide, grief, death, and depression. Such traumatic events are triggered in several planes of existence—White Space, Headspace, and Black Space—leading to anxiety, regression, and resurfacing trauma. In our article, we examine such representations of trauma with particular attention to the role of environmental design. The planes represent different approaches to memory, trauma, and repression, which Omori and the player navigate in non-linear, recursive paths. We analyze how each space seeks to illuminate and explore aspects of trauma in its respective atmosphere. Through environmental design, OMORI provides players with three distinct experiences with escapism and trauma that are representative of the experiences of trauma victims, ultimately elucidating the psychological phenomenon on a larger scale to de-stigmatize trauma. © The Author(s) 2023.",environmental design; escapism; OMORI; trauma; video games,Art and Humanities,SAGE Publications Inc.,Article,Scopus
Nevell M.,"Unmarginalising participation in the past and enabling engagement in community archaeology–Dig Greater Manchester, a case study",Journal of Community Archaeology and Heritage,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140057581&doi=10.1080%2f20518196.2022.2130594&partnerID=40&md5=6e57d10c85c1f87427919ba20f3eb4b0,"Dig Greater Manchester (DGM) was a large archaeological community engagement project operating within Britain during the years 2011 to 2016. Its scope and scale were designed to assess the impact of enabling local communities and individuals to acquire and enhance heritage skills and awareness of heritage-based practices, whilst also contributing to the exploration of the city region's experience of industrialisation. This paper looks at the ways in which the Dig Greater Manchester community archaeology project set about recording the impact of the project, especially individuals with learning disabilities. The community impact data was captured through specifically designed feedback questionnaires, one-to-one interviews with adult volunteers, one-to-one interviews with disability volunteers, and the input of psychology researchers from the University of Salford. The results provide data on how archaeology engagement activities can help to build communities and break down barriers, but also highlight areas where the project could have been improved. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",community; disability; engagement; Manchester; psychology,Art and Humanities,Routledge,Article,Scopus
