Authors,Title,Source title,Link,Abstract,Author Keywords,Business management,Publisher,Document Type,Source
Alkaraan F.; Albahloul M.; Hussainey K.,"Carillion's strategic choices and the boardroom's strategies of persuasive appeals: ethos, logos and pathos",Journal of Applied Accounting Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144901827&doi=10.1108%2fJAAR-06-2022-0134&partnerID=40&md5=095a9dba671caa978fc89f9d9f76740d,"Purpose: Companies documents such as annual reports incorporate narratives of repetitive rhetorical strategies as effective mechanisms adopted by companies' boardrooms to promote strategic change and strategic choices. These mechanisms can be viewed as persuasive appeals to facilitate boardrooms’ discourses. Despite the contribution of previous research through narrative analysis domains, conceptualization of narrative practices remains a relatively neglected area in the extant accounting literature. Design/methodology/approach: The analytical framework is rooted in Aristotle's three pillars of rhetorical proofs: ethos (credibility/trustworthiness), pathos (emotion/identification through cultural domains) and logos (reason/rationale) in investigating narrative extracts regarding persuasive appeals adopted by Carillion's board through annual reports that facilitate discourse regarding Carillion’s strategic choices. Further, the authors emphasis on repetitive rhetorical slogan strategies embedded in the annual reports regarding Carillion's acquisitions strategy. We viewed acquisitions narratives as rhetorical communication artefacts and analyzed the repetitive rhetoric slogans in these corporate documents. Findings: Findings of this study show how persuasive strategies and repetitive slogans trigger the discourses of Carillion's annual reports by drawing on perspectives from upper echelon theory, impression management and communication patterns. Findings reveal that Carillion’ board strategically use repetitive rhetoric slogans to shape optimistic corporate future performance which might be different from the feasible reality. Finally, the authors argue that corporate executives are striving to construct an alternative reality stem from their initial unrealistic aspiration to lead their sector of less controlled market share. Findings of this study have theoretical and managerial implications. Research limitations/implications: The key limitation of this study lies with the case study as the research methodology. Subjectivity remains inherent in interpreting the findings of this study. Future studies may adopt or adapt the authors’ analytical framework to examine other domains underpinning corporate reporting practices. Practical implications: The findings of this study have practical implications for boardrooms and policymakers. Findings of this study have theoretical and managerial implications. The level of optimism has its impact on the mood of financial decision-makers, and when there is a high level of optimism, managers may consider making more investment decisions and therefore making many acquisitions. Managerial overconfidence has been widely documented in the literature. Overconfident managers systematically overestimate the probability of good outcomes (and correspondingly underestimate the probability of bad outcomes) resulting from their actions. Social implications: Managerial overconfidence refers to overestimation of managers' own abilities and outcomes relating to actions which are under their control. Executives believed that they have ultimate control over outcomes, which leads them to underestimate the probability of failure generally. According to self-attribution bias, many people tend to excessively credit their own skills for good results and overly credit external factors for bad outcomes. Originality/value: The study explores the repetitive rhetorical slogan strategies embedded in the annual reports regarding Carillion's acquisitions strategy. Further, the study reveals how Carillion's board engaged through the early report with discourse and repetitive slogans to maintain their legitimacy. Findings reveal that Carillion’s board strategically uses repetitive rhetoric slogans to shape optimistic corporate future performance, which might be different from the feasible reality. Finally, the authors argue that corporate executives are striving to construct an alternative reality stem from their initial unrealistic aspiration to lead their sector of less controlled market share. © 2022, Emerald Publishing Limited.",Accounting; Acquisitions; Boardroom practices; Corporate disclosure; Corporate governance; Rhetorical analysis; Strategic choices; Strategic investment decision-making,Business and management,Emerald Publishing,Article,Scopus
Alzayed N.; Eskandari R.; Eshraghi A.; Yazdifar H.,Revisiting corporate governance and financial risk-taking,International Journal of Finance and Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174608041&doi=10.1002%2fijfe.2896&partnerID=40&md5=07b73f69cce4fac2c72cb70d897ef4ff,"Corporate governance attributes have varying effects on risk taking when variables are examined separately. We study the effects of a large range of corporate governance attributes on risk taking using a comprehensive US sample. Our findings confirm that although there are certain characteristics that drive this positive effect such as compensation structure, there are those which have the opposite effect such as board-level attributes. Our paper contributes to the broader literature on the relationship between corporate governance and risk in financial institutions, which are often overlooked in traditional studies. We shed light on the importance of studying corporate governance at a granular level rather than using a single index. The findings offer insights to regulators in determining suitable corporate governance frameworks to ensure the protection of investors rights in financial institutions. © 2023 The Authors. International Journal of Finance & Economics published by John Wiley & Sons Ltd.",corporate governance; financial institutions; financial risk taking; principal component analysis; risk measurements; structural equation modelling,Business and management,John Wiley and Sons Ltd,Article,Scopus
Bhuiyan M.B.U.; Liu J.; Alam A.,Problem Directors and Corporate Risk-Taking,British Journal of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174458929&doi=10.1111%2f1467-8551.12770&partnerID=40&md5=a5e674337db14c51efd1d2d76f83b851,"This study investigates the impact of a ‘problem director’ on the risk-taking propensity of a firm and its consequences for firm value. Analysing a sample of US companies, we find that corporate risk-taking propensity increases when a firm appoints a problem director. Our results are of economic significance, indicating that a one standard deviation increase in problem director's score leads to a 2.33% to 4.17% increase in corporate risk-taking. Mediation analysis reveals that a problem director increases firm risk-taking through reducing financial reporting quality. Further, a firm's risk-taking increases when a new problem director joins the board, and the damaging effect persists even after the problem director has left. Moreover, if a chief executive officer (CEO) is a problem director, s/he displays a greater predisposition for risk-taking. Moreover, when a problem director also sits on a board led by a problem CEO, we determine that the former will have an even greater propensity to take risks. Further analysis determines that the presence of problem directors damages long-term firm value in the aftermath of risk-taking behaviour. Overall, this study provides fresh evidence revealing a web of connections between a problem director, ineffective corporate governance and a decline in firm value. © 2023 The Authors. British Journal of Management published by John Wiley & Sons Ltd on behalf of British Academy of Management.",,Business and management,John Wiley and Sons Inc,Article,Scopus
Luong A.V.; Nguyen T.T.; Han K.; Vu T.H.; McCall J.; Liew A.W.-C.,DEFEG: Deep Ensemble with Weighted Feature Generation,Knowledge-Based Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162184298&doi=10.1016%2fj.knosys.2023.110691&partnerID=40&md5=62011ffe574740389e008e91edec6da4,"With the significant breakthrough of Deep Neural Networks in recent years, multi-layer architecture has influenced other sub-fields of machine learning including ensemble learning. In 2017, Zhou and Feng introduced a deep random forest called gcForest that involves several layers of Random Forest-based classifiers. Although gcForest has outperformed several benchmark algorithms on specific datasets in terms of classification accuracy and model complexity, its input features do not ensure better performance when going deeply through layer-by-layer architecture. We address this limitation by introducing a deep ensemble model with a novel feature generation module. Unlike gcForest where the original features are concatenated to the outputs of classifiers to generate the input features for the subsequent layer, we integrate weights on the classifiers’ outputs as augmented features to grow the deep model. The usage of weights in the feature generation process can adjust the input data of each layer, leading the better results for the deep model. We encode the weights using variable-length encoding and develop a variable-length Particle Swarm Optimization method to search for the optimal values of the weights by maximizing the classification accuracy on the validation data. Experiments on a number of UCI datasets confirm the benefit of the proposed method compared to some well-known benchmark algorithms. © 2023 The Author(s)",Deep learning; Ensemble method; Ensemble of classifiers; Feature generation; Multiple classifiers; Random forest,Business and management,Elsevier B.V.,Article,Scopus
Balogun T.B.,Built environment professionals’ perspective on digital technology skills,Education and Training,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187450093&doi=10.1108%2fET-08-2023-0309&partnerID=40&md5=56702acef90a4be44db6a4af6ba8cb1e,"Purpose: This study aims to explore the opinions of Built Environment Professionals (BEP) on the usage of fourth-generation digital technologies in the construction industry. Design/methodology/approach: This study adopts a qualitative research approach and conducts semi-structured interviews with Black, Asian and Minority Ethnic (BAME) professionals to explore the adoption and utilisation of fourth-generation digital technologies in the construction industry. The semi-structured interviews allowed the participants to elaborate on their experiences, and thematic analysis was employed to identify and analyse significant themes related to the topic. Findings: Accounts from BAME construction professionals reveal that the increased popularity of fourth-generation digital technologies, also known as Industry 4.0 technologies, does not necessarily result in increased usage. This is because many of these new technologies have not been embraced and are unpopular in certain circles. A more significant revelation is the impact of BAME community settings on determining the career pathways of most individuals, which often do not support the construction or digital technology pathways within the construction industry. Research limitations/implications: Research targeting ethnic minorities may not necessarily yield a large response due to the sensitivity of the issues raised. However, conducting a nationwide research with a larger sample size drawn from various locations in the UK could achieve more robust findings and uncover additional issues. Meanwhile, the results of this research can serve as a framework for more extensive investigations. Practical implications: The research offers valuable recommendations to industry and academia regarding the need to address the specific challenges faced by the BAME community in terms of digital technology adoption. These issues are often overlooked in most discussions about digital technology. Originality/value: The study provides critical recommendations that are relevant to Further and Higher Education (HE) institutions, industries, construction organisations, government bodies, etc. Recommendations include a call for collaboration between educational institutions, industry partners and local communities to facilitate awareness and orientation programmes within the community. © 2024, Emerald Publishing Limited.",Construction; Digital technology; Education; Skills,Business and management,Emerald Publishing,Article,Scopus
Noor Z.; Hina S.; Hayat F.; Shah G.A.,An intelligent context-aware threat detection and response model for smart cyber-physical systems,Internet of Things (Netherlands),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162121091&doi=10.1016%2fj.iot.2023.100843&partnerID=40&md5=6f76c99f10e361d3c8922b0aa8a62a01,"Smart cities, businesses, workplaces, and even residences have all been converged by the Internet of Things (IoT). The types and characteristics of these devices vary depending on the industry 4.0 and have rapidly increased recently, especially in smart homes. These gadgets can expose users to serious cyber dangers because of a variety of computing constraints and vulnerabilities in the security-by-design concept. The smart home network testbed setup presented in this study is used to evaluate and validate the protection of the smart cyber-physical system. The context-aware threat intelligence and response model identifies the states of the aligned smart devices to distinguish between real-world typical and attack scenarios. It then dynamically writes specific rules for protection against potential cyber threats. The context-aware model is trained on IoT Research and Innovation Lab - Smart Home System (IRIL-SHS) testbed dataset. The labeled dataset is utilized to create a random forest model, which is subsequently used to train and test the context-aware threat intelligence SHS model's effectiveness and performance. Finally, the model's logic is used to gain rules to be included in Suricata signatures and the firewall rulesets for the response system. Significant values of the measuring parameters were found in the results. The presented model can be used for the real-time security of smart home cyber-physical systems and develops a vision of security challenges for Industry 4.0. © 2023 The Author(s)",Context-aware IoT security; Cyber-physical systems; Machine learning; Network traffic analysis; Smart homes,Business and management,Elsevier B.V.,Article,Scopus
Balderson U.; Burchell B.; Kamerāde D.; Coutts A.; Wang S.,"“Just the freedom to get good at things and stuff like that”: Why spending less time at work would be good for individual, social and environmental wellbeing",Futures,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138378858&doi=10.1016%2fj.futures.2022.103035&partnerID=40&md5=da17690f26934abd38f4fbae47eedcff,"A reduction in the average length of the working week is a policy response which is gaining increasing political and popular support for its potential help to address a number of key societal challenges, particularly the declining health and wellbeing of workers and social cohesion. Drawing on a series 40 of in-depth interviews with people who have voluntarily reduced the amount of time they spend in formal employment we use Self-Determination Theory (SDT) to show the mechanisms through which these improvements are likely to occur. SDT is a well-validated psychological theory which suggests there are three innate psychological needs which when fulfilled lead to enhanced wellbeing: relatedness, competence and autonomy. Interviews showed that when people reduced time in formal employment they dedicated more time to activities which increased the likelihood that these three psychological needs would be adequately met. The activities undertaken were also broadly compatible with a degrowth imaginary. These findings are important as they help to develop the empirical case for a transition away from an economic model focused on ever increasing economic growth and instead illustrate the potential individual, social and environmental benefits of a less work focused way of living. © 2022",Autonomy; Care; Degrowth; Self-determination theory; Wellbeing; Working time,Business and management,Elsevier Ltd,Article,Scopus
Schultz D.E.; Kerr G.; Kitchen P.,Replication and George the Galapagos tortoise,Journal of Marketing Communications,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071972502&doi=10.1080%2f13527266.2019.1658465&partnerID=40&md5=e2fb8d9f9215144a98fe1243a29a3ab1,"This paper conceptualises replication research as being one of the most needed areas of ongoing academic activity. Using George the Galapagos tortoise as a metaphor for the lack of replication research, it is argued that only by replicating research studies over time can solid theory be developed. For the most part, advertising and marketing communication research consists of non-replicated, one-shot, point-in-time experiments which, once accepted and published by a journal, becomes the litany of the academic community and is then deified by the citation process. The paper begins by reviewing the background of replication research in the marketing communication domain and applies it to current thinking and publication trends. Reasons for the lack of replication research are presented and some conclusions are drawn for those seeking to confirm or challenge existing research. An agenda is provided for the development and publication of replication research. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",advertising and marketing communication; agenda; publication trends; Replication research; theoretical development,Business and management,Routledge,Article,Scopus
Marei Y.; Al Bahloul M.; Almasarwah A.; Alam A.,The relation between innovation and earnings management: Evidence for the UK,Global Business and Economics Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166404965&doi=10.1504%2fGBER.2023.131939&partnerID=40&md5=621b157d829e3fd46bf9d16ade7baba5,"This paper seeks to investigate the potential utilisation of research and development expenses by executives of innovative firms in the UK economy as a means of manipulating financial statement users. This study uses discretionary accruals and abnormal activities as proxies for earnings management and research and development as a proxy for innovation. This study finds dissimilar results for the discretionary accrual and abnormal activity models, it conducts additional analysis that accounts for the innovation to beat the earnings group, and refers to this group as the 'downward' group; another analysis accounts for the innovation to reduce earnings, and refers to this group as the 'upward' group. The results suggest that there is a negative association between discretionary accruals and downward innovation and finds a similar relationship in abnormal activities and the downward group, which indicates the referential value of beating earnings over innovation. This study also documented that innovative firms engage more in manipulation than noninnovative firms. © 2023 Inderscience Enterprises Ltd.",Incentives; Innovation; Manipulation; Real and accruals earnings management; UK,Business and management,Inderscience Publishers,Article,Scopus
Nutini A.; Sohail A.; Arif R.; Fiaz M.; Beg O.A.,Modeling the Impact of Delay on the Aggregation of AD Proteins,Annals of Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137227407&doi=10.1007%2fs40745-022-00439-z&partnerID=40&md5=b595115d4d2305fb42c1b9757444ad81,"Accumulation of the amyloid-β (Aβ) peptide in the brain gives rise to a cascade of key events in the pathogenesis of Alzheimer’s disease (AD). It is verified by different research trials that the sleep-wake cycle directly affects Aβ levels in the brain. The catalytic nature of amyloidosis and the protein aggregation can be understood with the help of enzyme kinetics. During this research, the chemical kinetics of the enzyme and substrate are used to explore the initiation of Alzheimer’s disease, and the associated physiological factors, such as the sleep wake cycles, related to this symptomatology. The model is based on the concentration of the Aβ fibrils, such that the resulting solution from the mathematical model may help to monitor the concentration gradients (deposition) during sleep deprivation. The model proposed here analyzes the existence of two phases in the production of amyloid fibrils in the sleep deprivation condition: a first phase in which the soluble form of amyloid Aβ is dominant and a second phase in which the fibrillar form predominates and suggests that such product is the result of a strong imbalance between the production of amyloid Aβ and its clearance. The time dependent model with delay, helps to explore the production of soluble Aβ amyloid form by a defective circadian cycle. The limitations of the time dependent model are facilitated by the artificial intelligence (AI) time series forecasting tools. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2022. Springer Nature or its licensor holds exclusive rights to this article under a publishing agreement with the author(s) or other rightsholder(s); author self-archiving of the accepted manuscript version of this article is solely governed by the terms of such publishing agreement and applicable law. Springer Nature or its licensor holds exclusive rights to this article under a publishing agreement with the author(s) or other rightsholder(s); author self-archiving of the accepted manuscript version of this article is solely governed by the terms of such publishing agreement and applicable law.",Alzheimer’s disease (AD); Amyloid aggregation; Circadian rhythm; Reproductive number; Sensitivity analysis; Sleep deprivation,Business and management,Springer Science and Business Media Deutschland GmbH,Article,Scopus
Elmarakby E.; Elkadi H.,Impact of urban morphology on Urban Heat Island in Manchester's transit-oriented development,Journal of Cleaner Production,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179583873&doi=10.1016%2fj.jclepro.2023.140009&partnerID=40&md5=275a452f5895acf6add16d35714d8fcb,"This study delves into the relationship between urban morphology and the Urban Heat Island (UHI) effect in Manchester's transit-oriented development (TOD). Using various analytical methods, including context analysis, remote sensing, SPSS correlation and the Sankey analysis, the research examines both weekday and weekend data of Manchester Piccadilly and East Didsbury TODs. Remote sensing analysis reveals Manchester Piccadilly TOD as a UHI hotspot due to concentrated human activities and low Normalised Difference Vegetation Index (NDVI). East Didsbury TOD, on the other hand, experiences lower UHI intensity because of its lower building and population density. The findings highlight the significant impact of land use and urban morphology on UHI intensity. The paper highlights how TOD-generated commercial and entertainment activities contribute to UHI levels in different locations in Manchester. Factors such as high population density and a higher percentage of workers exacerbate the UHI effect in TODs. The relationship between building heights and UHI challenges the conventional assumption of a positive correlation between floor area ratio (FAR) and UHI. These insights are crucial for TOD planning, emphasising the need to carefully consider land use, population density, and building characteristics in shaping the TOD locations. Implementing measures such as reducing heat emissions from commercial and entertainment activities can lessen the UHI intensity. Providing effective shading in TOD streets and shortening the distance to transit stations can encourage sustainable transportation modes like walking and cycling. Ultimately, this paper enhances understanding of the intricate connections between urban morphology and UHI, facilitating the development of environmentally friendly TOD. © 2023",Canyon ratio; Floor area ratio (FAR); Land surface temperature (LST); Normalised difference vegetation index (NDVI); Remote sensing; Sankey diagram; Spearman's rho; SPSS; Transit oriented development (TOD); Urban heat islands (UHI),Business and management,Elsevier Ltd,Article,Scopus
Monshizadeh F.; Sadeghi Moghadam M.R.; Mansouri T.; Kumar M.,Developing an industry 4.0 readiness model using fuzzy cognitive maps approach,International Journal of Production Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139286881&doi=10.1016%2fj.ijpe.2022.108658&partnerID=40&md5=2427c3c4a245de50b03ec75308bb87a9,"Industry 4.0, or the fourth industrial revolution, is a new paradigm in manufacturing digitalization, which provides various opportunities for enterprises. Industry 4.0 readiness models are worthy methods to aid manufacturing organizations in tracking the development of their businesses and operations. Nevertheless, there are different Industry 4.0 readiness models; no work has yet analyzed Industry 4.0 readiness degree and causal effects relationships using fuzzy cognitive maps. This paper proposes an Industry 4.0 readiness model that consists of readiness requirements obtained from the literature and validated through a mixed-method approach, including literature reviews and questionnaires. To validate the proposed Industry 4.0 readiness model, the exploratory factor analysis and confirmatory factor analysis methods are used. Fuzzy Cognitive Map is utilized to assess readiness, identify relevant concepts to improve readiness degree, implement Industry 4.0, and analyze causal relationships among concepts and dimensions. Through this model and the FCM method, managers can recognize relevant concepts and predict complicated cause-effect relationships among concepts in two states of static and dynamic analyses to increase readiness degree. The paper concludes by emphasizing managerial implications for successful applications in practice as well as future research suggestions on developing the Industry 4.0 readiness model. © 2022 Elsevier B.V.",Fuzzy cognitive maps (FCM); Industry 4.0; Readiness model,Business and management,Elsevier B.V.,Article,Scopus
Booth C.A.; Horry R.; Isaac C.; Mahamadu A.-M.; Manu P.; Awuah K.G.B.; Aboagye-Nimo E.; Georgakis P.; Prabhakaran A.,Earthship buildings: opinions on their contribution towards sustainable alternative housing in the UK,"Proceedings of Institution of Civil Engineers: Management, Procurement and Law",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139522591&doi=10.1680%2fjmapl.22.00026&partnerID=40&md5=f0dfe8245cc41b980dce626a5b1c7621,"Earthship buildings are marketed as being an epitome of sustainable alternative housing. Built by reusing or repurposing mostly reclaimed urban waste products, their design includes the utilisation of low-embodied-energy materials, passive solar heating and cooling, photovoltaic power systems, rainwater harvesting and solar hot water heating, along with black- and greywater-treatment systems. This study explores stakeholder opinions of whether Earthship buildings can contribute towards the future of alternative housing in the UK. Opinions were sought through a questionnaire completed by UK members of online social media groups whose shared focus is related to sustainability (n = 50). The results reveal that the public believe that the main benefits are their minimal environmental impact and also their reliance on renewable energy resources, while the main barriers are identifying suitable building plots and obtaining the necessary planning permissions. Notwithstanding that the participants included in this study already have sustainability interests, it is surmised that the public deem that the general principles of Earthships are an acceptable choice of alternative home/living. However, while the uptake of Earthship homes proves increasingly popular in some parts of the world, the utmost concern within the UK setting is the reality of finding somewhere suitable to build an Earthship and acquiring necessary authorisations to construct the building.  © 2023 Emerald Publishing Limited: All rights reserved.",alternative living; off grid; sustainability; sustainable construction; UN SDG 12: Responsible consumption and production; UN SDG 13: Climate action; UN SDG 7: Affordable and clean energy; waste management,Business and management,ICE Publishing,Article,Scopus
Miglo A.,Crowdfunding and bank financing: substitutes or complements?,Small Business Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123094975&doi=10.1007%2fs11187-021-00571-9&partnerID=40&md5=2064ff6e9fd0c2acaf7bd598d9db98fa,"In this paper, we analyze a firm choice between crowdfunding and bank financing. For many entrepreneurs, it is an important issue. We analyze a model where the choice of financing is affected by moral hazard problem regarding the choice of production scale that favors bank financing, and by the uncertainty about market demand that favors crowdfunding. We argue that long crowdfunding campaigns or campaigns with large targets usually are less efficient in mitigating moral hazard problem than small/short campaigns. We also argue that high-quality firms and firms with potentially large markets will tend to select bank financing while projects with largest amount of investment should select mixed financing where the firm uses a short crowdfunding campaign and a bank loan. Most of our model empirical predictions have not been directly tested so far while they are indirectly consistent with available evidence. © 2022, The Author(s).",Crowdfunding; Debt financing; Demand uncertainty; Moral hazard; Reward-based crowdfunding,Business and management,Springer,Article,Scopus
Sengupta S.; Bhattacharyya K.; Mandal J.; Bhattacharya P.; Chattopadhyay A.P.,Zinc and iron enrichment of vermicompost can reduce the arsenic load in rice grain: An investigation through pot and field experiments,Journal of Cleaner Production,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166220515&doi=10.1016%2fj.jclepro.2023.138267&partnerID=40&md5=3d9f2dc920d2cb8545a0816e24c77c3f,"The heavy metalloid arsenic (As), occurring in both trivalent and pentavalent is extremely toxic and has detrimental effect on humans through water-soil-crop transfer. Previously organic and inorganic amendments have been used separately for mitigation of As in rice but there exists a research gap regarding use of them simultaneously. In this study, both pot and field scale investigations were undertaken for four consecutive years in As-contaminated locations to assess the efficacy of zinc (Zn) and iron (Fe)-enriched vermicompost in reducing the As uptake in rice grain. Altogether seven types of vermicompost and three application rates were evaluated. The treatment combination V4D1 (enriched vermicompost V4 applied to soil at 3 t/ha) recorded the lowest soil available As (2.525 mg kg−1) and the highest soil available As (2.982 mg kg−1) was observed with V5D3 (enriched vermicompost V5 applied to soil at 1.5 t/ha). Application of enriched and non-enriched vermicompost reduced As in grain by 58.14 and 31.40% respectively over no vermicompost (control). The partial dependence plot from stepwise regression modelling of different fractions of As revealed that an increase in organically bound As resulted in a decrease in the availability of As and hence uptake by rice. Further, Zn and Fe-enriched vermicompost resulted in increase of iron plaque formation on the root. A significant positive relationship (r = 0.462) was observed between dithionite-citrate-bicarbonate (DCB) extractable -Fe andAs. A significant negative correlation (r = ˗0.410) between DCB-Fe and grain As, advocates better root plaque formation resulting a higher capacity to sequester As onto the root surface and reducing its's entry into the rice system. The carcinogenic risk somewhat was benign (TCR of 2.69 × 10−3 and SAMOE of 0.101) against no vermicompost (TCR of 6.64 × 10−3 and SAMOE of 0.04). Therefore enriching vermicompost with ZnSO4 and FeSO4 at 10% dry weight basis (V4) of the composting substrate can lower arsenic build-up in rice grains without affecting yield. © 2023 The Author(s)",Arsenic; Dietary risk; Enriched vermicompost; Fractions; Iron plaque; Rice,Business and management,Elsevier Ltd,Article,Scopus
Byrne A.; Milestone K.,‘He wouldn’t be seen using it…’ Men’s use of male grooming products as a form of invisible consumption,Journal of Consumer Culture,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125655771&doi=10.1177%2f14695405211066314&partnerID=40&md5=d9eede0c1452c822be299e2afc670170,"Skincare products are well-established amongst female consumers. The market for male skincare products is far more recent and little research has been undertaken on this emerging sector. The practice of men using what was traditionally a product almost solely aimed at women poses some interesting questions about changing gendered identities and practices. Themes emerged from a series of interviews with respondents and key informants from industry about men’s use of skincare products. Based on our findings, we explore the importance of age as a factor in terms of men’s willingness to engage with this form of consumption. Our research showed that men are not comfortable talking with others about their grooming practices. We argue that men’s skincare consumption is an invisible form of consumption. As our findings show, men do not tend to speak openly about whether or not they use moisturiser and other facial skin care products. We concur with Hakim’s (2016) analysis about the pressure for men to continually improve their bodies in order to try to obtain market advantage in a cut-throat neoliberal context. However, with the case of skin care products, men may introspectively gaze in the mirror in contemplation of their improved appearance gained from using facial skincare products but they want this consumption to remain invisible to others. This invisible consumption could be viewed as an indication of wider uncertainty about masculinity in late modernity and the continuing trend for men to feel that there are certain aspects of their life that they feel they should keep to themselves. © The Author(s) 2022.",consumption; identity; invisible consumption; Masculinity; skincare,Business and management,SAGE Publications Ltd,Article,Scopus
Acevedo B.; Malevicius R.; Fadli H.; Lamberti C.,Aesthetics and education for sustainability,Culture and Organization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123752629&doi=10.1080%2f14759551.2022.2028147&partnerID=40&md5=d1c243fb4f3452a376583017b9b50d22,"Although there have been important developments in the provision of education for sustainability, the focus remains on the transmission of knowledge, and analysis of case studies that seldom relate to the daily lives and concerns of higher education students. Scholars and educators have pointed to alternatives that engage with authentic aspects of learning, including critical thinking, socio-emotional aspects, creativity and a renewed focus on nurturing values and virtues, offering a meaningful alternative for education. In this paper, we draw upon our own experience of more than 10 years treading the path of education for sustainability in management studies and our integration of aesthetics through the use of art-based methods and beauty. We focus on three collaborative educational experiences, where we have aimed at integrating conversations following Heather Höpfl’s ideas on virtues and aesthetics in management education. We argue that knowledge alone is not enough to engage students to make durable changes, and we suggest exploring aesthetics in its different manifestations for meaningful transformations in education for sustainability. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",Active learning; aesthetics and education; art and education; authentic assessment; education for sustainability; management education; passionate engagement,Business and management,Routledge,Article,Scopus
Marchowska-Raza M.; Rowley J.,"Consumer and brand value formation, value creation and co-creation in social media brand communities",Journal of Product and Brand Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187194899&doi=10.1108%2fJPBM-01-2023-4299&partnerID=40&md5=e200c4265810ecc8061dafba94faaf0e,"Purpose: Social media has significantly impacted the value creation processes within the consumer–brand relationship. This study aims to examine value formation processes within a cosmetics social media brand community and to establish the types of value formation associated with different categories of interactions within a social media brand community. Design/methodology/approach: The research adopted a netnographic approach and followed the operational protocols of netnography. Conversations in one large cosmetics social media brand community were observed and downloaded for analysis over a two-month period. Examples of value-creation and formation processes were identified using netnographic interpretative procedures to develop higher-order themes. Findings: The findings supported the creation of a “Consumer and brand value creation and co-creation framework” highlighting disparate value types within the following interactions: consumer-to-consumer; brand-to-consumer; and consumer-to-brand. The identified value types were specific to the actors (i.e. consumers and brands) involved in value formation processes. The analysis also revealed consumers’ ability to independently generate value through direct interaction with a social media brand community and the brands’ role in supporting consumers in value formation through value facilitation. Originality/value: The pivotal role of disparate actors’ interactions in value formation processes is highlighted, alongside the autonomous ability to form value with the aid of resources stored and shared within the social media brand community. The network of interactions and value-creation processes contribute to a holistic understanding of the interactions in a social media brand community. Furthermore, the research explores and highlights the emerging role of social media brand communities as “value vestiges”. © 2024, Emerald Publishing Limited.",Brand communities; Brand value; Co-creation; Consumer value; Cosmetics sector; Netnography; Social media; Value co-creation; Value creation; Value formation,Business and management,Emerald Publishing,Article,Scopus
Banna H.; Alam A.; Chen X.H.; Alam A.W.,Energy security and economic stability: The role of inflation and war,Energy Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168746806&doi=10.1016%2fj.eneco.2023.106949&partnerID=40&md5=97c621473c6acb050036d92e9329efcc,"This paper investigates the impact of energy security risk (ESR) on economic stability. Using multiple global datasets, we provide empirical evidence from a panel of 68 countries spanning over a period from 1980 to 2021. Our results indicate that high ESR reduces GDP growth rate (GDPG) from a global perspective. In robustness tests, this effect remains valid across several specifications based on non-U.S. samples, national income-level, alternative measure of economic stability, and a set of endogeneity tests based on propensity score matching estimation. Countries with pre-existing low GDPG mainly suffer from heightened energy insecurity. Further tests reveal that numerous country-specific institutional quality estimates moderate the effect. Finally, the damaging impact of ESR worsens during years of high inflation, geopolitical risk and acts, as well as of escalated war threats. We encourage international collaborations to develop a more sustainable energy system, which enhances the security of energy supply and the stability of economy. © 2023 The Authors",Economic stability; Energy security; GDP growth; Inflation; Keynesian economic theory; War,Business and management,Elsevier B.V.,Article,Scopus
